motif_name,naive_found,naive_time,boyer_moore_found,boyer_moore_time,pigeon_hole_mm0_found,pigeon_hole_mm0_time,pigeon_hole_mm0_ham1_found,pigeon_hole_mm0_ham2_found,pigeon_hole_mm0_ham3_found,pigeon_hole_mm0_ham4_found,pigeon_hole_mm0_ham5_found,pigeon_hole_mm1_found,pigeon_hole_mm1_time,pigeon_hole_mm1_ham1_found,pigeon_hole_mm1_ham2_found,pigeon_hole_mm1_ham3_found,pigeon_hole_mm1_ham4_found,pigeon_hole_mm1_ham5_found,pigeon_hole_mm2_found,pigeon_hole_mm2_time,pigeon_hole_mm2_ham1_found,pigeon_hole_mm2_ham2_found,pigeon_hole_mm2_ham3_found,pigeon_hole_mm2_ham4_found,pigeon_hole_mm2_ham5_found,pigeon_hole_mm3_found,pigeon_hole_mm3_time,pigeon_hole_mm3_ham1_found,pigeon_hole_mm3_ham2_found,pigeon_hole_mm3_ham3_found,pigeon_hole_mm3_ham4_found,pigeon_hole_mm3_ham5_found,pigeon_hole_mm4_found,pigeon_hole_mm4_time,pigeon_hole_mm4_ham1_found,pigeon_hole_mm4_ham2_found,pigeon_hole_mm4_ham3_found,pigeon_hole_mm4_ham4_found,pigeon_hole_mm4_ham5_found,pigeon_hole_mm5_found,pigeon_hole_mm5_time,pigeon_hole_mm5_ham1_found,pigeon_hole_mm5_ham2_found,pigeon_hole_mm5_ham3_found,pigeon_hole_mm5_ham4_found,pigeon_hole_mm5_ham5_found
M43_len120_ham0,True,3.395,True,1.003,True,1.952,False,False,False,False,False,True,4.345,True,False,False,False,False,True,4.765,True,True,False,False,False,True,7.969,True,True,True,False,False,True,10.220,True,True,True,True,False,True,10.959,True,True,True,True,True
M44_len120_ham0,True,3.249,True,1.092,True,1.329,False,False,False,False,False,True,3.107,True,False,False,False,False,True,4.689,True,True,False,False,False,True,7.135,True,True,True,False,False,True,7.260,True,True,True,True,False,True,10.913,True,True,True,True,True
M45_len120_ham0,True,3.399,True,1.177,True,3.194,False,False,False,False,False,True,4.597,True,False,False,False,False,True,7.380,True,True,False,False,False,True,7.387,True,True,True,False,False,True,9.950,True,True,True,True,False,True,11.914,True,True,True,True,True
M46_len120_ham0,True,3.432,True,0.908,True,2.100,False,False,False,False,False,True,3.093,True,False,False,False,False,True,4.648,True,True,False,False,False,True,5.994,True,True,True,False,False,True,10.016,True,True,True,True,False,True,10.868,True,True,True,True,True
M47_len120_ham0,True,3.412,True,0.653,True,1.097,False,False,False,False,False,True,3.226,True,False,False,False,False,True,4.519,True,True,False,False,False,True,6.036,True,True,True,False,False,True,7.425,True,True,True,True,False,True,10.545,True,True,True,True,True
M48_len120_ham0,True,3.303,True,0.717,True,3.280,False,False,False,False,False,True,5.406,True,False,False,False,False,True,8.124,True,True,False,False,False,True,7.535,True,True,True,False,False,True,10.134,True,True,True,True,False,True,14.588,True,True,True,True,True
M49_len120_ham0,True,3.315,True,1.119,True,1.909,False,False,False,False,False,True,3.151,True,False,False,False,False,True,4.995,True,True,False,False,False,True,5.326,True,True,True,False,False,True,10.418,True,True,True,True,False,True,9.999,True,True,True,True,True
M50_len120_ham0,True,4.013,True,1.118,True,1.943,False,False,False,False,False,True,4.730,True,False,False,False,False,True,5.269,True,True,False,False,False,True,7.875,True,True,True,False,False,True,10.190,True,True,True,True,False,True,11.365,True,True,True,True,True
M51_len120_ham0,True,3.590,True,0.827,True,2.113,False,False,False,False,False,True,3.705,True,False,False,False,False,True,5.750,True,True,False,False,False,True,7.197,True,True,True,False,False,True,10.016,True,True,True,True,False,True,10.550,True,True,True,True,True
M52_len120_ham0,True,3.938,True,1.085,True,1.162,False,False,False,False,False,True,4.064,True,False,False,False,False,True,4.659,True,True,False,False,False,True,8.055,True,True,True,False,False,True,7.749,True,True,True,True,False,True,11.573,True,True,True,True,True
M53_len120_ham0,True,3.656,True,0.809,True,1.905,False,False,False,False,False,True,3.579,True,False,False,False,False,True,5.814,True,True,False,False,False,True,8.131,True,True,True,False,False,True,8.260,True,True,True,True,False,True,11.011,True,True,True,True,True
M54_len120_ham0,True,3.338,True,1.599,True,1.601,False,False,False,False,False,True,3.122,True,False,False,False,False,True,5.474,True,True,False,False,False,True,5.886,True,True,True,False,False,True,7.789,True,True,True,True,False,True,9.325,True,True,True,True,True
M55_len120_ham0,True,3.311,True,1.443,True,1.569,False,False,False,False,False,True,3.563,True,False,False,False,False,True,6.061,True,True,False,False,False,True,9.285,True,True,True,False,False,True,9.175,True,True,True,True,False,True,11.787,True,True,True,True,True
M56_len120_ham0,True,4.280,True,0.543,True,0.754,False,False,False,False,False,True,1.842,True,False,False,False,False,True,5.528,True,True,False,False,False,True,6.007,True,True,True,False,False,True,7.303,True,True,True,True,False,True,11.013,True,True,True,True,True
M57_len120_ham0,True,5.404,True,1.100,True,1.917,False,False,False,False,False,True,3.643,True,False,False,False,False,True,4.727,True,True,False,False,False,True,7.425,True,True,True,False,False,True,9.372,True,True,True,True,False,True,9.664,True,True,True,True,True
M58_len120_ham0,True,3.359,True,1.230,True,2.833,False,False,False,False,False,True,4.807,True,False,False,False,False,True,6.673,True,True,False,False,False,True,9.071,True,True,True,False,False,True,8.526,True,True,True,True,False,True,12.134,True,True,True,True,True
M59_len120_ham0,True,3.392,True,1.181,True,1.451,False,False,False,False,False,True,2.659,True,False,False,False,False,True,5.306,True,True,False,False,False,True,7.813,True,True,True,False,False,True,10.158,True,True,True,True,False,True,11.189,True,True,True,True,True
